,Gene
1628,SLC9A3R1
1629,SLC9A3R2
1630,SLCO1B1
1631,SLCO1B3
1632,SLCO1C1
1633,SLF1
1634,SLFN14
1635,SLX1A
1636,SMCR8
1637,SMG7
1638,SMIM29
1639,SMN1
1640,SMPD2
1641,SMU1
1642,SNAP29
1643,SNAP47
1644,SNED1
1645,SNUPN
1646,SNX17
1647,SNX32
1648,SNX8
1649,SOCS2
1650,SOD2
1651,SP7
1652,SP9
1653,SPAG5
1654,SPAG7
1655,SPANXN3
1656,SPARC
1657,SPATA6
1658,SPDL1
1659,SPECC1L
1660,SPECC1L-ADORA2A
1661,SPEM1
1662,SPHK1
1663,SPP2
1664,SPRYD3
